ethnicity,certified
African American,1/7/2021
Caucasian,1/7/2021
African American,1/7/2021
African American,1/7/2021
Caucasian,1/7/2021
Caucasian,1/7/2021
Hispanic American,1/7/2020
African American,1/6/2021
Hispanic American,1/6/2021
African American,1/6/2021
Hispanic American,1/6/2021
Hispanic American,1/6/2021
African American,1/6/2021
African American,1/6/2021
African American,1/6/2021
African American,1/6/2021
Caucasian,1/6/2021
Hispanic American,1/6/2021
Caucasian,1/6/2021
Native American,1/6/2020
African American,1/6/2020
Asian American,1/6/2020
Hispanic American,1/5/2021
African American,1/5/2021
Caucasian,1/5/2021
Caucasian,1/5/2021
African American,1/5/2021
Caucasian,1/5/2021
African American,1/5/2021
African American,1/5/2021
Hispanic American,1/5/2021
African American,1/5/2021
Caucasian,1/5/2021
Hispanic American,1/5/2021
African American,1/5/2021
African American,1/5/2021
African American,1/5/2021
African American,1/5/2021
African American,1/5/2021
Asian American,1/5/2021
African American,1/5/2021
African American,1/5/2021
African American,1/5/2021
African American,1/5/2021
Caucasian,1/5/2021
Hispanic American,1/5/2021
African American,1/5/2021
African American,1/5/2021
Caucasian,1/5/2021
Caucasian,1/5/2021
African American,1/5/2021
African American,1/5/2021
Asian American,1/4/2021
African American,1/4/2021
African American,1/4/2021
Hispanic American,1/4/2021
Hispanic American,1/4/2021
Hispanic American,1/4/2021
Caucasian,1/4/2021
African American,1/4/2021
Hispanic American,1/4/2019
Hispanic American,1/4/2019
Hispanic American,1/4/2018
Hispanic American,1/4/2018
Hispanic American,1/31/2021
Hispanic American,1/31/2021
Hispanic American,1/31/2021
Hispanic American,1/31/2021
Caucasian,1/31/2020
African American,1/31/2020
African American,1/31/2020
African American,1/31/2020
African American,1/31/2019
Asian American,1/31/2019
Hispanic American,1/31/2019
Hispanic American,1/31/2018
African American,1/31/2017
African American,1/31/2017
Hispanic American,1/30/2020
Asian American,1/30/2020
African American,1/30/2020
Hispanic American,1/30/2020
African American,1/30/2020
Asian American,1/30/2018
Asian American,1/30/2018
African American,1/3/2020
Caucasian,1/3/2020
African American,1/3/2020
Hispanic American,1/3/2019
Caucasian,1/3/2019
Asian American,1/3/2018
Asian American,1/3/2017
Caucasian,1/29/2021
Hispanic American,1/29/2021
Hispanic American,1/29/2021
Caucasian,1/29/2021
Hispanic American,1/29/2021
Caucasian,1/29/2021
African American,1/29/2020
African American,1/29/2020
African American,1/29/2020
Asian American,1/29/2015
Caucasian,1/28/2021
Hispanic American,1/28/2021
African American,1/28/2021
Hispanic American,1/28/2020
Caucasian,1/28/2020
Caucasian,1/28/2020
African American,1/28/2020
Hispanic American,1/28/2019
African American,1/27/2021
Caucasian,1/27/2021
Hispanic American,1/27/2020
Caucasian,1/27/2020
African American,1/27/2020
Caucasian,1/27/2020
African American,1/27/2020
African American,1/26/2016
African American,1/25/2021
African American,1/25/2021
African American,1/25/2021
African American,1/25/2021
African American,1/25/2021
Caucasian,1/25/2021
Hispanic American,1/25/2021
African American,1/25/2021
Hispanic American,1/25/2021
African American,1/25/2021
African American,1/25/2019
African American,1/25/2017
African American,1/25/2017
African American,1/25/2017
African American,1/24/2020
African American,1/24/2020
African American,1/24/2020
Asian American,1/24/2018
Hispanic American,1/23/2020
Hispanic American,1/23/2020
African American,1/23/2020
African American,1/23/2020
Hispanic American,1/23/2020
African American,1/23/2018
Hispanic American,1/23/2018
African American,1/22/2021
Caucasian,1/22/2021
African American,1/22/2021
Asian American,1/22/2021
Hispanic American,1/22/2021
Caucasian,1/22/2021
Caucasian,1/21/2021
African American,1/21/2021
Hispanic American,1/21/2021
Hispanic American,1/21/2021
Caucasian,1/21/2021
African American,1/21/2021
African American,1/21/2021
African American,1/21/2021
African American,1/21/2021
Hispanic American,1/21/2020
Hispanic American,1/21/2020
Hispanic American,1/21/2020
Hispanic American,1/21/2020
Caucasian,1/21/2016
Hispanic American,1/20/2021
Hispanic American,1/20/2021
Hispanic American,1/20/2021
African American,1/20/2021
African American,1/20/2021
Hispanic American,1/20/2021
African American,1/20/2021
Hispanic American,1/20/2021
Hispanic American,1/20/2021
Caucasian,1/20/2021
Asian American,1/20/2021
Asian American,1/20/2021
African American,1/20/2021
Hispanic American,1/20/2017
Caucasian,1/20/2017
Hispanic American,1/2/2020
Hispanic American,1/2/2020
Asian Indian,1/2/2020
African American,1/2/2018
Hispanic American,1/2/2018
Asian American,1/19/2021
Asian American,1/19/2021
Native American,1/19/2021
Native American,1/19/2021
African American,1/19/2021
African American,1/19/2021
African American,1/19/2021
Caucasian,1/19/2021
Caucasian,1/19/2021
African American,1/19/2021
African American,1/19/2021
Caucasian,1/19/2021
African American,1/19/2021
African American,1/19/2021
Hispanic American,1/19/2021
Caucasian,1/19/2021
Caucasian,1/19/2021
African American,1/19/2021
African American,1/19/2021
Caucasian,1/19/2021
Hispanic American,1/19/2021
African American,1/19/2021
African American,1/19/2021
Caucasian,1/19/2021
African American,1/19/2021
African American,1/19/2021
Hispanic American,1/19/2021
African American,1/19/2021
Caucasian,1/19/2018
Caucasian,1/19/2017
Hispanic American,1/19/2016
Caucasian,1/18/2020
Caucasian,1/17/2020
Asian American,1/17/2020
Caucasian,1/17/2020
Caucasian,1/16/2020
Hispanic American,1/16/2019
Hispanic American,1/16/2019
Asian American,1/15/2021
Caucasian,1/15/2021
African American,1/15/2021
African American,1/15/2021
African American,1/15/2020
Hispanic American,1/15/2020
Caucasian,1/15/2020
African American,1/15/2020
Caucasian,1/15/2020
African American,1/15/2017
Asian American,1/15/2016
African American,1/14/2021
Caucasian,1/14/2021
African American,1/14/2021
Hispanic American,1/14/2021
African American,1/14/2021
African American,1/14/2020
African American,1/14/2020
African American,1/14/2020
Caucasian,1/14/2020
Caucasian,1/14/2016
African American,1/13/2021
Hispanic American,1/13/2021
Caucasian,1/13/2021
Hispanic American,1/13/2021
Hispanic American,1/13/2021
Asian American,1/13/2021
African American,1/13/2021
Caucasian,1/13/2021
African American,1/13/2021
Caucasian,1/13/2021
African American,1/13/2021
Hispanic American,1/13/2021
Hispanic American,1/13/2021
Caucasian,1/13/2020
Caucasian,1/13/2020
African American,1/12/2021
Hispanic American,1/12/2021
African American,1/12/2021
Caucasian,1/12/2021
Caucasian,1/12/2017
African American,1/12/2017
Hispanic American,1/11/2021
Hispanic American,1/11/2021
Caucasian,1/11/2021
Caucasian,1/11/2021
African American,1/11/2021
Caucasian,1/11/2021
African American,1/11/2021
African American,1/11/2021
African American,1/11/2021
Asian American,1/11/2021
Caucasian,1/11/2021
African American,1/11/2019
African American,1/10/2020
Hispanic American,1/10/2020
African American,1/10/2020
African American,1/10/2020
Caucasian,1/10/2018
African American,1/10/2017
Hispanic American,1/1/2016
